5GuysBot;I'm dumb
hayden;"sorry, there was a lot of banging"
Sam;killing some rtard
sam;i'm so mad you cleaned the mayonnaise off my snake
Sam;I'm so mad you cleaned the mayonnaise off my snake
sam;jack me off?
sam;what am i sucking?
Sam;not just porn hentai trans porn
hayden;heil hitler
Billy;Oh you have influenza, it's really unfortunate that I don't have any potatoes
hayden;i own the black guy
luke;i'll serve you some pleasure 😉
Luke;That's my go to triple K allegiance
Luke;you better treasure them when they cum
Billy;I birthed the villagers
Sam;If me and Reb don't get engaged this year I'm pretty sure I'm on the streets, so
sam;i'm forcing him dude!
Luke;Can you guys stop quoting me
Sam;Quote that
Luke;Gaping Chasm? That's really stretching.
Sam;Alright why don't you guys just sleep together then
luke;the skin buttholes i look at daily
sam;tap me hayden
sam;I stinky
Reb;You swung without me while I was T-bagging
hayden;i want a butt healing
hayden;hehe luke and i are making 6 9 together
reb;I smell
sam;my slave is australian, ya cunt
hayden;i just have fucking blood all over my floor now... it's ugly as fuck
hayden;i got fucked by a block
sam;we all know, girls get horny for food
Sam;Billy just wants to hear you cyber dude, that's all there is to it
reb;it's tight... like, around the thing
Reb;its not fair when you have an asian guy on your team
Reb;we need to make friends with an asian
sam;it's very hard to eat food
sam;my mouth is ready for you
sam;so hard dude
hayden;mesa never fuck anything
sam;i want to be sage so much
reb;that's not the only thing that's done in 2 seconds
sam;she's talking about herself watching brimstone porn
sam;"OH FUCK!... I'M COMING!!"
reb;"I'm coming! I'm coming! I'm coming"
luke;"Vault me harder daddy"
reb;fatpussy
Reb;I've masturbated so much I exerted myself
luke;im a simp
sam;i am a simp
mark;receiving
Sam;Flap yourself off
reb;i like penis coladas!
reb;ascent is my favourite map
reb;i milk his udder
hayden;have you ever tasted sam's man titty milk?
hayden;i don't have very many thoughts
sam;Shelby has to die of AIDS because Hayden says so
sam;we will we will suck you
reb;it's so sketchy to take it alone
Reb;I'll make a montage of all the times Sam cucked me
hayden;i'm richer than you soooo
Jimmy;Needs more thick creamy white stuff
Luke;You need more thick creamy white stuff
Reb;My dirty black hole
hayden;struggling with their sack, trying to get it off
Billy;We are Daddy
hayden;i will suck when you tell me to
Billy;Sam's talksic
sam;all the letters look the same, just like the people
sam;have you ever watched rush hour?... with Jackie Chan and... the black guy?
Sam;卐╰༼ ･ ͜ ʖ ･ ༽╯卐╰༼ ･ ͜ ʖ ･ ༽╯卐
hayden;Its official, my brain is stupid
Reb;Alright I'm never speaking again
Sam;Hayden did you know that Rebecca's pregnant?
Reb;My ass got blasted
luke;"there's a reason they lump the spec ed kids together from the get go
Billy;wall dildo
Billy;I'll traffic you
Reb;My ass blasted all over A site ughya
Reb;slop on my cocky
Reb;I feverishly beat my meat on Sam
sam;everybody run a train on reb
Sam;Everybody run a train on Reb
sam;"eyesight is a social construct"
sam;i can suck him off
Luke;Oh man I'm so good at cumming on all these people
